latitude,longitude
5.006944444444443,-65
5.006944444444443,-63
5.006944444444443,-61
5.006944444444443,-59
5.006944444444443,11
5.006944444444443,13
5.006944444444443,15
5.006944444444443,17
5.006944444444443,19
5.006944444444443,21
5.006944444444443,23
5.006944444444443,25
5.006944444444443,27
5.006944444444443,29
5.006944444444443,31
5.006944444444443,33
5.006944444444443,35
5.006944444444443,37
5.006944444444443,39
5.006944444444443,41
5.006944444444443,43
5.006944444444443,45
7.009722222222223,-75
7.009722222222223,-73
7.009722222222223,-71
7.009722222222223,-69
7.009722222222223,-67
7.009722222222223,-65
7.009722222222223,-63
7.009722222222223,-61
7.009722222222223,-9
7.009722222222223,-7
7.009722222222223,-5
7.009722222222223,-3
7.009722222222223,-1
7.009722222222223,7
7.009722222222223,9
7.009722222222223,11
7.009722222222223,13
7.009722222222223,15
7.009722222222223,17
7.009722222222223,19
7.009722222222223,21
7.009722222222223,23
7.009722222222223,25
7.009722222222223,27
7.009722222222223,29
7.009722222222223,31
7.009722222222223,33
7.009722222222223,35
7.009722222222223,37
7.009722222222223,39
7.009722222222223,41
7.009722222222223,43
7.009722222222223,45
7.009722222222223,47
9.012500000000003,-73
9.012500000000003,-71
9.012500000000003,-69
9.012500000000003,-67
9.012500000000003,-11
9.012500000000003,-9
9.012500000000003,-7
9.012500000000003,-5
9.012500000000003,-3
9.012500000000003,-1
9.012500000000003,1
9.012500000000003,3
9.012500000000003,5
9.012500000000003,7
9.012500000000003,9
9.012500000000003,11
9.012500000000003,13
9.012500000000003,15
9.012500000000003,17
9.012500000000003,19
9.012500000000003,21
9.012500000000003,23
9.012500000000003,25
9.012500000000003,27
9.012500000000003,29
9.012500000000003,31
9.012500000000003,33
9.012500000000003,35
9.012500000000003,37
9.012500000000003,39
9.012500000000003,41
9.012500000000003,43
9.012500000000003,45
9.012500000000003,47
9.012500000000003,49
11.01527777777778,-13
11.01527777777778,-11
11.01527777777778,-9
11.01527777777778,-7
11.01527777777778,-5
11.01527777777778,-3
11.01527777777778,-1
11.01527777777778,1
11.01527777777778,3
11.01527777777778,5
11.01527777777778,7
11.01527777777778,9
11.01527777777778,11
11.01527777777778,13
11.01527777777778,15
11.01527777777778,17
11.01527777777778,19
11.01527777777778,21
11.01527777777778,23
11.01527777777778,25
11.01527777777778,27
11.01527777777778,29
11.01527777777778,31
11.01527777777778,33
11.01527777777778,35
11.01527777777778,37
11.01527777777778,39
11.01527777777778,41
13.01805555555555,-85
13.01805555555555,-15
13.01805555555555,-13
13.01805555555555,-11
13.01805555555555,-9
13.01805555555555,-7
13.01805555555555,-5
13.01805555555555,-3
13.01805555555555,-1
13.01805555555555,1
13.01805555555555,3
13.01805555555555,5
13.01805555555555,7
13.01805555555555,9
