latitude,longitude,era5_t2m_2015_C,era5_t2m_2016_C,era5_t2m_2017_C,era5_t2m_2018_C,era5_t2m_2019_C,era5_t2m_2020_C,era5_t2m_2021_C,era5_t2m_2022_C,era5_t2m_2023_C,era5_t2m_2024_C
-29.0403,-57,20.9458,20.2275,21.3762,20.7224,20.9466,20.9205,20.4604,20.6072,21.6090,21.0994
-29.0403,-57,20.9458,20.2275,21.3762,20.7224,20.9466,20.9205,20.4604,20.6072,21.6090,21.0994
-29.0403,-57,20.9458,20.2275,21.3762,20.7224,20.9466,20.9205,20.4604,20.6072,21.6090,21.0994
-29.0403,-55,19.9929,19.3672,20.3998,19.6628,20.1470,19.9035,19.4010,19.4196,20.3916,20.1130
-29.0403,-55,19.9929,19.3672,20.3998,19.6628,20.1470,19.9035,19.4010,19.4196,20.3916,20.1130
-29.0403,-53,19.4156,18.7446,19.8028,19.1430,19.6716,19.2865,18.8086,18.5723,19.6620,19.4850
-29.0403,-51,17.1826,16.2526,17.3387,16.6341,17.3135,16.5379,16.1890,15.9161,16.9384,17.1746
-29.0403,17,17.2524,17.8638,17.7482,17.7442,17.8686,17.7568,17.6055,17.8195,17.1047,17.8271
-29.0403,17,17.2524,17.8638,17.7482,17.7442,17.8686,17.7568,17.6055,17.8195,17.1047,17.8271
-29.0403,19,20.5091,20.6714,20.7220,19.9406,20.9322,20.6079,19.8267,20.1474,19.9385,20.9322
-29.0403,19,20.5091,20.6714,20.7220,19.9406,20.9322,20.6079,19.8267,20.1474,19.9385,20.9322
-29.0403,21,21.5799,21.6213,21.5002,21.0230,22.0985,21.4211,20.7982,21.0153,21.1760,22.0083
-29.0403,21,21.5799,21.6213,21.5002,21.0230,22.0985,21.4211,20.7982,21.0153,21.1760,22.0083
-29.0403,23,19.9263,19.8610,19.3322,19.3739,20.5636,18.9745,18.5047,18.8558,19.1435,19.9652
-29.0403,25,19.4073,19.4704,18.7977,18.7594,19.6524,18.1403,17.7231,17.9766,18.3416,18.7978
-29.0403,27,17.3436,17.0979,16.4176,16.1006,17.3718,15.7661,15.2979,15.8200,15.9613,16.9557
-29.0403,27,17.3436,17.0979,16.4176,16.1006,17.3718,15.7661,15.2979,15.8200,15.9613,16.9557
-29.0403,29,10.2603,9.8958,9.5506,9.5290,10.6659,9.8930,9.4382,9.7441,9.8323,10.3952
-29.0403,29,10.2603,9.8958,9.5506,9.5290,10.6659,9.8930,9.4382,9.7441,9.8323,10.3952
-29.0403,31,19.6812,19.3827,18.9882,18.7534,19.5266,19.1666,18.7515,19.1319,19.1812,19.6986
-29.0403,117,21.7265,20.0878,21.2503,21.0421,22.1511,21.4616,20.6713,20.5991,21.9183,22.1676
-29.0403,119,21.1641,19.7117,20.4780,20.5803,21.7799,20.9142,20.0927,20.2893,21.5117,21.5018
-29.0403,121,21.3903,20.0715,20.5165,20.9978,22.3088,21.4969,20.4339,20.6454,21.7579,21.4241
-29.0403,123,20.4245,19.1070,19.4812,19.7009,21.3780,20.4193,19.5321,19.6448,20.6172,20.0363
-29.0403,125,20.6827,19.3371,19.7755,19.7876,21.6242,20.5462,19.6920,19.8924,20.6589,20.1984
